type,manufacturer,model,yom,price,date
Registered,suzuki,WAGON R FX,2017,3866666.667,6/1/2023
Registered,suzuki,WAGON R FX,2017,4166666.667,7/1/2023
Registered,suzuki,WAGON R FX,2017,4466666.667,8/1/2023
Registered,suzuki,WAGON R FX,2017,4566666.667,9/1/2023
Registered,suzuki,WAGON R FX,2017,4616666.667,10/1/2023
Registered,suzuki,WAGON R FX,2017,4716666.667,11/1/2023
Registered,suzuki,WAGON R FX,2017,4916666.667,12/1/2023
Registered,suzuki,WAGON R FX,2017,5116666.667,1/1/2024
Registered,suzuki,WAGON R FX,2017,5216666.667,2/1/2024
Registered,suzuki,WAGON R FX,2017,5316666.667,3/1/2024
Registered,suzuki,WAGON R FX,2017,5416666.667,4/1/2024
Registered,suzuki,WAGON R FX,2017,5216666.667,5/1/2024
Registered,suzuki,WAGON R FX,2017,5416666.667,6/1/2024
Registered,suzuki,WAGON R FX,2017,5466666.667,7/1/2024
Registered,suzuki,WAGON R FX,2017,5516666.667,8/1/2024
Registered,suzuki,WAGON R FX,2017,5566666.667,9/1/2024
Registered,suzuki,WAGON R FX,2017,5566666.667,10/1/2024
Registered,suzuki,WAGON R FX,2017,5466666.667,11/1/2024
Registered,suzuki,WAGON R FX,2017,5316666.667,12/1/2024
Registered,suzuki,WAGON R FX,2017,5116666.667,1/1/2025
Registered,suzuki,WAGON R FX,2017,5016666.667,2/1/2025
Registered,suzuki,WAGON R FX,2017,4750000,3/1/2025
Registered,suzuki,WAGON R FX,2017,4900000,4/1/2025
Registered,suzuki,WAGON R FX,2017,5150000,5/1/2025
Registered,suzuki,WAGON R FX,2017,5550000,6/1/2025
Registered,suzuki,WAGON R FX,2017,5650000,7/1/2025
Registered,suzuki,WAGON R FX,2017,5750000,8/1/2025
Registered,suzuki,WAGON R FX,2017,5450000,9/1/2025
Registered,suzuki,WAGON R FX,2017,5150000,10/1/2025
Registered,suzuki,WAGON R FX,2018,2800000,7/1/2020
Registered,suzuki,WAGON R FX,2018,2950000,8/1/2020
Registered,suzuki,WAGON R FX,2018,3125000,9/1/2020
Registered,suzuki,WAGON R FX,2018,3075000,10/1/2020
Registered,suzuki,WAGON R FX,2018,3125000,11/1/2020
Registered,suzuki,WAGON R FX,2018,3125000,12/1/2020
Registered,suzuki,WAGON R FX,2018,3165000,1/1/2021
Registered,suzuki,WAGON R FX,2018,3205000,2/1/2021
Registered,suzuki,WAGON R FX,2018,3235000,3/1/2021
Registered,suzuki,WAGON R FX,2018,3280000,4/1/2021
Registered,suzuki,WAGON R FX,2018,3300000,5/1/2021
Registered,suzuki,WAGON R FX,2018,3265000,6/1/2021
Registered,suzuki,WAGON R FX,2018,3300000,7/1/2021
Registered,suzuki,WAGON R FX,2018,3422500,8/1/2021
Registered,suzuki,WAGON R FX,2018,3722500,9/1/2021
Registered,suzuki,WAGON R FX,2018,4572500,10/1/2021
Registered,suzuki,WAGON R FX,2018,4430000,11/1/2021
